Designator,Mid X,Mid Y,Rotation,Layer
_4,144.78,-178.054,0.0,top
_3,62.23,-130.048,0.0,top
_2,62.23,-178.054,0.0,top
,144.78,-130.048,0.0,top
D1,66.6662,-151.13,90.0,top
D10,89.5262,-151.13,90.0,top
D11,92.075,-151.1306,90.0,top
D12,94.6228,-151.1306,90.0,top
D13,97.1628,-151.1306,90.0,top
D14,99.7028,-151.1306,90.0,top
D15,102.2428,-151.1306,90.0,top
D16,104.7828,-151.1306,90.0,top
D17,107.3228,-151.1306,90.0,top
D18,109.8628,-151.1306,90.0,top
D19,112.4028,-151.1306,90.0,top
D2,69.2062,-151.13,90.0,top
D20,114.9428,-151.1306,90.0,top
D21,117.4828,-151.1294,90.0,top
D22,120.0306,-151.1294,90.0,top
D23,122.5706,-151.1294,90.0,top
D24,125.1106,-151.1294,90.0,top
D25,127.6506,-151.1294,90.0,top
D26,130.1906,-151.1294,90.0,top
D27,132.7306,-151.1294,90.0,top
D28,135.2706,-151.1294,90.0,top
D29,137.8106,-151.1294,90.0,top
D3,71.7462,-151.13,90.0,top
D30,140.3506,-151.1294,90.0,top
D31,66.6086,-168.9088,90.0,top
D32,69.1564,-168.9088,90.0,top
D33,71.6964,-168.9088,90.0,top
D34,74.2364,-168.9088,90.0,top
D35,76.7764,-168.9088,90.0,top
D36,79.3164,-168.9088,90.0,top
D37,81.8564,-168.9088,90.0,top
D38,84.3964,-168.9088,90.0,top
D39,86.9364,-168.9088,90.0,top
D4,74.2862,-151.13,90.0,top
D40,89.4764,-168.9088,90.0,top
D41,92.0242,-168.9094,90.0,top
D42,94.573,-168.9106,90.0,top
D43,97.113,-168.9106,90.0,top
D44,99.653,-168.9106,90.0,top
D45,102.193,-168.9106,90.0,top
D46,104.733,-168.9106,90.0,top
D47,107.273,-168.9106,90.0,top
D48,109.813,-168.9106,90.0,top
D49,112.353,-168.9106,90.0,top
D5,76.8262,-151.13,90.0,top
D50,114.9008,-168.9106,90.0,top
D51,117.4496,-168.9094,90.0,top
D52,119.9974,-168.9094,90.0,top
D53,122.5374,-168.9094,90.0,top
D54,125.0774,-168.9094,90.0,top
D55,127.6174,-168.9094,90.0,top
D56,130.1574,-168.9094,90.0,top
D57,132.6974,-168.9094,90.0,top
D58,135.2374,-168.9094,90.0,top
D59,137.7774,-168.9094,90.0,top
D6,79.3662,-151.13,90.0,top
D60,140.3174,-168.9094,90.0,top
D7,81.9062,-151.13,90.0,top
D71,133.985,-184.15,180.0,top
D72,133.985,-181.61,180.0,top
D73,118.745,-181.61,180.0,top
D74,118.745,-184.15,180.0,top
D75,103.505,-184.15,180.0,top
D76,103.505,-181.61,180.0,top
D77,88.265,-181.61,180.0,top
D78,88.265,-184.15,180.0,top
D79,73.025,-184.15,180.0,top
D8,84.4462,-151.13,90.0,top
D80,73.0244,-181.61,180.0,top
D81,73.025,-135.89,180.0,top
D82,73.025,-138.43,180.0,top
D83,88.265,-138.43,180.0,top
D84,88.265,-135.89,180.0,top
D85,103.505,-135.89,180.0,top
D86,103.505,-138.43,180.0,top
D87,118.745,-138.43,180.0,top
D88,118.745,-135.89,180.0,top
D89,133.985,-135.89,180.0,top
D9,86.9862,-151.13,90.0,top
D90,133.985,-138.43,180.0,top
J1,103.505,-131.318,0.0,top
J11,103.505,-160.02,0.0,top
JP1,130.1496,-128.27,90.0,top
JP2,141.5796,-128.27,270.0,top
TP15,143.51,-144.78,0.0,top
TP16,63.5,-144.78,0.0,top
TP20,63.5,-142.24,0.0,top
TP21,63.5,-147.32,0.0,top
TP22,143.51,-147.32,0.0,top
TP23,143.51,-142.24,0.0,top
TP24,66.675,-128.016,0.0,top
TP25,131.9276,-125.73,90.0,top
TP26,75.565,-128.016,0.0,top
TP27,139.8016,-125.73,90.0,top
TP29,131.9276,-130.81,90.0,top
TP31,139.8016,-130.81,90.0,top
