Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.350800,-38.903400,0.000000,top
"J1","USB_B_Mini","USB_Mini-B_Wuerth_65100516121_Horizontal",109.838823,-31.990177,135.000000,top
"J5","I2C_OLED_Display","PinHeader_1x04_P2.54mm_Vertical",58.410599,-30.648400,0.000000,top
"J6","Conn_02x35_JumperluxCardEdge","HEE70LP03BK_Daughter_Penis_Top",75.530199,-23.663400,0.000000,top
"J7","Conn_02x35_JumperluxCardEdge","HEE70LP03BK_Daughter_Penis",75.555599,-60.036200,0.000000,top
"JP1","Power_From_Breadboard","SolderJumper_2_Open_Small",50.612799,-53.374100,0.000000,top
"JP6","Power_From_Breadboard","SolderJumper_2_Open_Small",50.612799,-55.152100,0.000000,top
"JP7","SolderJumper_2_Bridged","SolderJumper_2_Bridged_Small",50.612799,-56.930100,0.000000,top
"R1","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",106.543599,-39.321900,-90.000000,top
"R2","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",107.559599,-39.321900,-90.000000,top
"R3","22K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.887600,-40.030400,90.000000,top
"R8","47K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.887600,-35.490400,90.000000,top
"R9","22K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.887600,-31.045400,90.000000,top
"R10","270K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.143600,-40.062400,90.000000,top
"R11","39K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.143600,-35.966400,90.000000,top
"R12","270K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",84.175600,-40.046400,90.000000,top
"R13","39K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",84.175600,-35.982400,90.000000,top
"R14","270K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",86.207600,-40.046400,90.000000,top
"R15","39K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",86.207600,-35.982400,90.000000,top
"R16","270K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",88.239600,-40.046400,90.000000,top
"R17","39K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",88.239600,-35.982400,90.000000,top
"R18","47K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",67.919600,-35.490400,90.000000,top
"R19","22K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",67.919600,-31.045400,90.000000,top
"R20","47K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",63.855600,-35.490400,90.000000,top
"R21","22K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",63.855600,-31.045400,90.000000,top
"R22","22K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",74.539599,-40.030400,-90.000000,top
"R23","22K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",72.507599,-40.030400,-90.000000,top
"R24","22K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",76.571599,-40.030400,-90.000000,top
"R25","22K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",63.855600,-40.030400,90.000000,top
"R26","22K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",67.919600,-40.046400,90.000000,top
"R35","2.2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",93.970599,-40.173400,-90.000000,top
"R36","2.2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.065599,-40.173400,-90.000000,top
"R39","2.2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",88.255599,-30.648400,90.000000,top
"R40","2.2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",86.350599,-30.648400,90.000000,top
"R41","2.2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",84.445599,-30.648400,90.000000,top
"R42","2.2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.540599,-30.648400,90.000000,top
"TP1","AOUT2R","TestPoint_D0.75mm",105.970915,-26.203400,-90.000000,top
"TP2","AOUT2L","TestPoint_D0.75mm",103.390915,-26.203400,-90.000000,top
"TP3","AOUT1R","TestPoint_D0.75mm",100.890915,-26.203400,-90.000000,top
"TP4","AOUT1L","TestPoint_D0.75mm",98.415599,-26.203400,-90.000000,top
"TP6","Select_Probe","PINHEADER-1x1_vertical",35.550599,-46.523400,90.000000,top
"TP7","Button_Probe","PINHEADER-1x1_vertical",35.550599,-43.983400,90.000000,top
"TP13","Voltage_Probe","PINHEADER-1x1_vertical",35.550599,-41.483400,90.000000,top
"TP16","GPIO_2","TestPoint_D0.75mm",115.687599,-55.057800,90.000000,top
"U4","~","Directional_Switch_SKRHADE010",42.408599,-50.968400,0.000000,top
"U5","QA503C","QA503C",44.415199,-29.403800,0.000000,top
"U9","RP2040","RP2040-QFN-56",106.665599,-48.433400,0.000000,top
"U12","QA503C","QA503C",44.440599,-38.268400,0.000000,top
"U13","CH446X","LQFP44_Tight",60.950599,-50.333400,0.000000,top
"U14","CH446X","LQFP44_Tight",75.946999,-50.333400,0.000000,top
"U15","CH446X","LQFP44_Tight",90.795599,-50.333400,0.000000,top
